LEVEL_06_CODE ,Loa (mã khối),Tên khối
124200990311,24.0,KHOI THAM DINH VA PHE DUYET
1122009901401,12.0,KHOI BAN LE
1122009901402,12.0,KHOI BAN LE
1131009902101,13.0,KHOI KINH DOANH VON VA TIEN TE
1131009902102,13.0,KHOI KINH DOANH VON VA TIEN TE
99699,,
110100996250,10.0,KHOI DAU TU
111000996012,11.0,KHOI BAN BUON
111000996016,11.0,KHOI BAN BUON
111000996040,11.0,KHOI BAN BUON
111100996012,11.0,KHOI BAN BUON
111100996016,11.0,KHOI BAN BUON
111100996040,11.0,KHOI BAN BUON
111300996012,11.0,KHOI BAN BUON
111300996015,11.0,KHOI BAN BUON
111300996016,11.0,KHOI BAN BUON
111300996030,11.0,KHOI BAN BUON
111300996070,11.0,KHOI BAN BUON
111400996012,11.0,KHOI BAN BUON
111400996040,11.0,KHOI BAN BUON
111500996017,11.0,KHOI BAN BUON
111500996018,11.0,KHOI BAN BUON
111500996040,11.0,KHOI BAN BUON
112000996110,12.0,KHOI BAN LE
112000996130,12.0,KHOI BAN LE
112000996140,12.0,KHOI BAN LE
112000996180,12.0,KHOI BAN LE
112100996180,12.0,KHOI BAN LE
112100996190,12.0,KHOI BAN LE
112200996110,12.0,KHOI BAN LE
112200996130,12.0,KHOI BAN LE
112300996110,12.0,KHOI BAN LE
112300996130,12.0,KHOI BAN LE
112300996140,12.0,KHOI BAN LE
112400996180,12.0,KHOI BAN LE
112500996180,12.0,KHOI BAN LE
112500996192,12.0,KHOI BAN LE
113000996210,13.0,KHOI KINH DOANH VON VA TIEN TE
113400996210,13.0,KHOI KINH DOANH VON VA TIEN TE
114200996330,14.0,KHOI QUAN LY RUI RO
114200996340,14.0,KHOI QUAN LY RUI RO
114500996320,14.0,KHOI QUAN LY RUI RO
115000996430,15.0,KHOI TAC NGHIEP
115200996410,15.0,KHOI TAC NGHIEP
115200996420,15.0,KHOI TAC NGHIEP
115200996430,15.0,KHOI TAC NGHIEP
115500996430,15.0,KHOI TAC NGHIEP
115500996460,15.0,KHOI TAC NGHIEP
115500996470,15.0,KHOI TAC NGHIEP
116000996530,16.0,KHOI TAI CHINH-KE TOAN
116500996510,16.0,KHOI TAI CHINH-KE TOAN
116500996530,16.0,KHOI TAI CHINH-KE TOAN
116500996540,16.0,KHOI TAI CHINH-KE TOAN
116500996560,16.0,KHOI TAI CHINH-KE TOAN
117400996690,17.0,KHOI HO TRO
117400996750,17.0,KHOI HO TRO
117500996601,17.0,KHOI HO TRO
117500996620,17.0,KHOI HO TRO
117500996621,17.0,KHOI HO TRO
117500996640,17.0,KHOI HO TRO
117500996651,17.0,KHOI HO TRO
117500996652,17.0,KHOI HO TRO
117500996670,17.0,KHOI HO TRO
117500996730,17.0,KHOI HO TRO
117500996790,17.0,KHOI HO TRO
117500996791,17.0,KHOI HO TRO
117500996792,17.0,KHOI HO TRO
117500996999,17.0,KHOI HO TRO
118100996530,18.0,TRUNG TAM VON
118200996530,18.0,TRUNG TAM VON
119000996000,19.0,BO PHAN CHUNG
119500996818,19.0,BO PHAN CHUNG
119500996838,19.0,BO PHAN CHUNG
119500996848,19.0,BO PHAN CHUNG
119500996858,19.0,BO PHAN CHUNG
119500996868,19.0,BO PHAN CHUNG
119500996878,19.0,BO PHAN CHUNG
119500996888,19.0,BO PHAN CHUNG
120500996910,20.0,BAN LANH DAO
120500996920,20.0,BAN LANH DAO
120500996930,20.0,BAN LANH DAO
120500996940,20.0,BAN LANH DAO
121500996830,21.0,KHOI GIAM SAT VA TUAN THU
121500996831,21.0,KHOI GIAM SAT VA TUAN THU
122200996220,22.0,KHOI CNTT VA NGAN HANG SO
122400996221,22.0,KHOI CNTT VA NGAN HANG SO
122500996222,22.0,KHOI CNTT VA NGAN HANG SO
122500996223,22.0,KHOI CNTT VA NGAN HANG SO
123500996840,23.0,KHOI DANG-DOAN THE
123500996841,23.0,KHOI DANG-DOAN THE
123500996842,23.0,KHOI DANG-DOAN THE
123500996843,23.0,KHOI DANG-DOAN THE
123500996844,23.0,KHOI DANG-DOAN THE
123500996845,23.0,KHOI DANG-DOAN THE
124200996310,24.0,KHOI THAM DINH VA PHE DUYET
124200996311,24.0,KHOI THAM DINH VA PHE DUYET
1122009961401,12.0,KHOI BAN LE
1122009961402,12.0,KHOI BAN LE
1131009962101,13.0,KHOI KINH DOANH VON VA TIEN TE
1131009962102,13.0,KHOI KINH DOANH VON VA TIEN TE
11699,,
111100116021,11.0,KHOI BAN BUON
112100116121,12.0,KHOI BAN LE
112100116150,12.0,KHOI BAN LE
112100116151,12.0,KHOI BAN LE
112100116152,12.0,KHOI BAN LE
112100116154,12.0,KHOI BAN LE
114600116335,14.0,KHOI QUAN LY RUI RO
115600116440,15.0,KHOI TAC NGHIEP
115600116446,15.0,KHOI TAC NGHIEP
117700116618,17.0,KHOI HO TRO
119000116000,19.0,BO PHAN CHUNG
120700116950,20.0,BAN LANH DAO
11899,,
111100118021,11.0,KHOI BAN BUON
112100118121,12.0,KHOI BAN LE
112100118150,12.0,KHOI BAN LE
112100118151,12.0,KHOI BAN LE
112100118157,12.0,KHOI BAN LE
114600118335,14.0,KHOI QUAN LY RUI RO
115600118440,15.0,KHOI TAC NGHIEP
115600118446,15.0,KHOI TAC NGHIEP
115700118465,15.0,KHOI TAC NGHIEP
117700118618,17.0,KHOI HO TRO
119000118000,19.0,BO PHAN CHUNG
120700118950,20.0,BAN LANH DAO
12099,,
111100120021,11.0,KHOI BAN BUON
111100120022,11.0,KHOI BAN BUON
111100120023,11.0,KHOI BAN BUON
111100120024,11.0,KHOI BAN BUON
111100120025,11.0,KHOI BAN BUON
111100120026,11.0,KHOI BAN BUON
112100120121,12.0,KHOI BAN LE
112100120122,12.0,KHOI BAN LE
112100120123,12.0,KHOI BAN LE
112100120150,12.0,KHOI BAN LE
112100120153,12.0,KHOI BAN LE
112100120154,12.0,KHOI BAN LE
112100120155,12.0,KHOI BAN LE
112100120156,12.0,KHOI BAN LE
114600120336,14.0,KHOI QUAN LY RUI RO
114600120337,14.0,KHOI QUAN LY RUI RO
115600120440,15.0,KHOI TAC NGHIEP
115600120446,15.0,KHOI TAC NGHIEP
115700120465,15.0,KHOI TAC NGHIEP
116700120521,16.0,KHOI TAI CHINH-KE TOAN
117700120698,17.0,KHOI HO TRO
119000120000,19.0,BO PHAN CHUNG
120700120950,20.0,BAN LANH DAO
12199,,
111100121021,11.0,KHOI BAN BUON
111100121022,11.0,KHOI BAN BUON
111100121023,11.0,KHOI BAN BUON
112100121121,12.0,KHOI BAN LE
112100121150,12.0,KHOI BAN LE
112100121151,12.0,KHOI BAN LE
112100121152,12.0,KHOI BAN LE
112100121153,12.0,KHOI BAN LE
112100121154,12.0,KHOI BAN LE
112100121155,12.0,KHOI BAN LE
114600121335,14.0,KHOI QUAN LY RUI RO
115600121440,15.0,KHOI TAC NGHIEP
115600121446,15.0,KHOI TAC NGHIEP
116700121521,16.0,KHOI TAI CHINH-KE TOAN
117700121698,17.0,KHOI HO TRO
119000121000,19.0,BO PHAN CHUNG
120700121950,20.0,BAN LANH DAO
12299,,
111100122021,11.0,KHOI BAN BUON
111100122022,11.0,KHOI BAN BUON
111100122023,11.0,KHOI BAN BUON
111100122024,11.0,KHOI BAN BUON
111100122025,11.0,KHOI BAN BUON
111100122028,11.0,KHOI BAN BUON
112100122121,12.0,KHOI BAN LE
112100122122,12.0,KHOI BAN LE
112100122153,12.0,KHOI BAN LE
112100122154,12.0,KHOI BAN LE
112100122155,12.0,KHOI BAN LE
112100122158,12.0,KHOI BAN LE
112100122159,12.0,KHOI BAN LE
112100122166,12.0,KHOI BAN LE
114600122335,14.0,KHOI QUAN LY RUI RO
115600122440,15.0,KHOI TAC NGHIEP
115600122446,15.0,KHOI TAC NGHIEP
115700122465,15.0,KHOI TAC NGHIEP
116700122521,16.0,KHOI TAI CHINH-KE TOAN
117700122698,17.0,KHOI HO TRO
119000122000,19.0,BO PHAN CHUNG
120700122950,20.0,BAN LANH DAO
12399,,
111100123021,11.0,KHOI BAN BUON
111100123022,11.0,KHOI BAN BUON
111100123023,11.0,KHOI BAN BUON
112100123121,12.0,KHOI BAN LE
112100123122,12.0,KHOI BAN LE
112100123123,12.0,KHOI BAN LE
112100123124,12.0,KHOI BAN LE
112100123150,12.0,KHOI BAN LE
112100123151,12.0,KHOI BAN LE
112100123152,12.0,KHOI BAN LE
112100123153,12.0,KHOI BAN LE
112100123155,12.0,KHOI BAN LE
112100123156,12.0,KHOI BAN LE
112100123157,12.0,KHOI BAN LE
112100123158,12.0,KHOI BAN LE
114600123335,14.0,KHOI QUAN LY RUI RO
115600123440,15.0,KHOI TAC NGHIEP
115600123446,15.0,KHOI TAC NGHIEP
115700123465,15.0,KHOI TAC NGHIEP
116700123521,16.0,KHOI TAI CHINH-KE TOAN
117700123698,17.0,KHOI HO TRO
119000123000,19.0,BO PHAN CHUNG
120700123950,20.0,BAN LANH DAO
12499,,
111100124021,11.0,KHOI BAN BUON
111100124022,11.0,KHOI BAN BUON
111100124023,11.0,KHOI BAN BUON
111100124024,11.0,KHOI BAN BUON
112100124121,12.0,KHOI BAN LE
112100124122,12.0,KHOI BAN LE
112100124123,12.0,KHOI BAN LE
112100124150,12.0,KHOI BAN LE
112100124151,12.0,KHOI BAN LE
112100124152,12.0,KHOI BAN LE
112100124153,12.0,KHOI BAN LE
112100124154,12.0,KHOI BAN LE
114600124335,14.0,KHOI QUAN LY RUI RO
115600124440,15.0,KHOI TAC NGHIEP
115600124446,15.0,KHOI TAC NGHIEP
116700124521,16.0,KHOI TAI CHINH-KE TOAN
117700124698,17.0,KHOI HO TRO
119000124000,19.0,BO PHAN CHUNG
120700124950,20.0,BAN LANH DAO
12599,,
111100125021,11.0,KHOI BAN BUON
111100125022,11.0,KHOI BAN BUON
112100125120,12.0,KHOI BAN LE
112100125121,12.0,KHOI BAN LE
112100125122,12.0,KHOI BAN LE
112100125150,12.0,KHOI BAN LE
112100125151,12.0,KHOI BAN LE
112100125152,12.0,KHOI BAN LE
112100125153,12.0,KHOI BAN LE
112100125155,12.0,KHOI BAN LE
112100125157,12.0,KHOI BAN LE
114600125335,14.0,KHOI QUAN LY RUI RO
115600125440,15.0,KHOI TAC NGHIEP
115600125446,15.0,KHOI TAC NGHIEP
116700125521,16.0,KHOI TAI CHINH-KE TOAN
117700125698,17.0,KHOI HO TRO
119000125000,19.0,BO PHAN CHUNG
120700125950,20.0,BAN LANH DAO
12699,,
111100126021,11.0,KHOI BAN BUON
111100126022,11.0,KHOI BAN BUON
111100126023,11.0,KHOI BAN BUON
112100126121,12.0,KHOI BAN LE
112100126122,12.0,KHOI BAN LE
112100126150,12.0,KHOI BAN LE
112100126151,12.0,KHOI BAN LE
112100126152,12.0,KHOI BAN LE
112100126153,12.0,KHOI BAN LE
112100126154,12.0,KHOI BAN LE
112100126155,12.0,KHOI BAN LE
