Lv0,Lv1,Lv2,Lv3,Lv4,LvPK,Size
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.11301E+11,61,4
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12201E+12,15,1
1.17401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,23,126851
1.22401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.22501E+11,22,121907
1.22401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.13101E+12,22,0
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12201E+12,23,142723
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.13101E+12,99,0
1.22401E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.11301E+11,90,12688
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.10101E+11,99,0
1.174E+11,1.174E+11,1.13401E+11,1.16501E+11,1.11301E+11,19,212
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11101E+11,11,45
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.12201E+12,21,20529
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.17501E+11,24,2828
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12201E+12,31,16
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.10101E+11,90,0
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.12301E+11,99,384
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11301E+11,61,0
1.22401E+11,1.174E+11,1.11501E+11,1.11501E+11,1.11301E+11,22,28261
1.174E+11,1.174E+11,1.15501E+11,1.15501E+11,1.11101E+11,41,96399
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.17501E+11,41,8701
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.12301E+11,90,133001
1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,15,10062570
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.10101E+11,90,2793
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.12301E+11,90,13496
1.13401E+11,1.13401E+11,1.13401E+11,1.16501E+11,1.11301E+11,24,285
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,11,876
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.17501E+11,31,9385
1.22401E+11,1.17401E+11,1.17401E+11,1.15201E+11,1.15201E+11,13,5913
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11101E+11,41,998
1.174E+11,1.174E+11,1.15501E+11,1.15501E+11,1.11301E+11,51,3075
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.11101E+11,22,0
1.17401E+11,1.17401E+11,1.17401E+11,1.22201E+11,1.22201E+11,99,61727032
1.22401E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.11301E+11,31,461
1.22401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.12201E+12,14,0
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.11301E+11,23,99
1.22401E+11,1.12501E+11,1.12501E+11,1.12501E+11,1.11301E+11,24,576
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.12201E+11,15,2
1.174E+11,1.174E+11,1.13401E+11,1.16501E+11,1.12201E+11,15,2
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.10101E+11,21,37710
1.22401E+11,1.17401E+11,1.17401E+11,1.11501E+11,1.11301E+11,19,0
1.22401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.11301E+11,21,13811
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,61,0
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11301E+11,21,8830653
1.174E+11,1.174E+11,1.22501E+11,1.22501E+11,1.12301E+11,21,176559923
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12201E+12,24,5131
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11301E+11,13,7
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.13101E+12,90,11533
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.13101E+12,13,223514
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.12201E+12,90,1963696
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12201E+11,61,0
